map,pacman,game,points
labAA1.lay,BasicAgentAA,1,78
labAA1.lay,BasicAgentAA,2,-41
labAA1.lay,BasicAgentAA,3,142
labAA1.lay,BasicAgentAA,4,-220
labAA1.lay,BasicAgentAA,5,45
labAA1.lay,BasicAgentAA,6,-160
labAA1.lay,BasicAgentAA,7,-157
labAA1.lay,BasicAgentAA,8,3
labAA1.lay,BasicAgentAA,9,154
labAA1.lay,BasicAgentAA,10,37
labAA1.lay,BasicAgentAA,11,168
labAA1.lay,BasicAgentAA,12,1
labAA1.lay,BasicAgentAA,13,-270
labAA1.lay,BasicAgentAA,14,72
labAA1.lay,BasicAgentAA,15,130
labAA1.lay,BasicAgentAA,16,-169
labAA1.lay,BasicAgentAA,17,125
labAA1.lay,BasicAgentAA,18,116
labAA1.lay,BasicAgentAA,19,123
labAA1.lay,BasicAgentAA,20,29
labAA1.lay,BasicAgentAA,21,132
labAA1.lay,BasicAgentAA,22,-7
labAA1.lay,BasicAgentAA,23,43
labAA1.lay,BasicAgentAA,24,-85
labAA1.lay,BasicAgentAA,25,139
labAA1.lay,BasicAgentAA,26,23
labAA1.lay,BasicAgentAA,27,137
labAA1.lay,BasicAgentAA,28,145
labAA1.lay,BasicAgentAA,29,131
labAA1.lay,BasicAgentAA,30,-129
labAA1.lay,BasicAgentAA,31,50
labAA1.lay,BasicAgentAA,32,187
labAA1.lay,BasicAgentAA,33,128
labAA1.lay,BasicAgentAA,34,-284
labAA1.lay,BasicAgentAA,35,153
labAA1.lay,BasicAgentAA,36,70
labAA1.lay,BasicAgentAA,37,61
labAA1.lay,BasicAgentAA,38,89
labAA1.lay,BasicAgentAA,39,-172
labAA1.lay,BasicAgentAA,40,165
labAA1.lay,BasicAgentAA,41,-48
labAA1.lay,BasicAgentAA,42,152
labAA1.lay,BasicAgentAA,43,-227
labAA1.lay,BasicAgentAA,44,-14
labAA1.lay,BasicAgentAA,45,89
labAA1.lay,BasicAgentAA,46,152
labAA1.lay,BasicAgentAA,47,81
labAA1.lay,BasicAgentAA,48,113
labAA1.lay,BasicAgentAA,49,68
labAA1.lay,BasicAgentAA,50,54
labAA1.lay,BasicAgentAA,51,112
labAA1.lay,BasicAgentAA,52,163
labAA1.lay,BasicAgentAA,53,149
labAA1.lay,BasicAgentAA,54,-562
labAA1.lay,BasicAgentAA,55,-107
labAA1.lay,BasicAgentAA,56,40
labAA1.lay,BasicAgentAA,57,3
labAA1.lay,BasicAgentAA,58,133
labAA1.lay,BasicAgentAA,59,178
labAA1.lay,BasicAgentAA,60,-10
labAA1.lay,BasicAgentAA,61,-17
labAA1.lay,BasicAgentAA,62,50
labAA1.lay,BasicAgentAA,63,3
labAA1.lay,BasicAgentAA,64,78
labAA1.lay,BasicAgentAA,65,122
labAA1.lay,BasicAgentAA,66,62
labAA1.lay,BasicAgentAA,67,151
labAA1.lay,BasicAgentAA,68,89
labAA1.lay,BasicAgentAA,69,-83
labAA1.lay,BasicAgentAA,70,-82
labAA1.lay,BasicAgentAA,71,123
labAA1.lay,BasicAgentAA,72,132
labAA1.lay,BasicAgentAA,73,142
labAA1.lay,BasicAgentAA,74,72
labAA1.lay,BasicAgentAA,75,-65
labAA1.lay,BasicAgentAA,76,148
labAA1.lay,BasicAgentAA,77,171
labAA1.lay,BasicAgentAA,78,118
labAA1.lay,BasicAgentAA,79,125
labAA1.lay,BasicAgentAA,80,126
labAA1.lay,BasicAgentAA,81,77
labAA1.lay,BasicAgentAA,82,-176
labAA1.lay,BasicAgentAA,83,101
labAA1.lay,BasicAgentAA,84,-2
labAA1.lay,BasicAgentAA,85,-105
labAA1.lay,BasicAgentAA,86,25
labAA1.lay,BasicAgentAA,87,-89
labAA1.lay,BasicAgentAA,88,138
labAA1.lay,BasicAgentAA,89,63
labAA1.lay,BasicAgentAA,90,-107
labAA1.lay,BasicAgentAA,91,24
labAA1.lay,BasicAgentAA,92,123
labAA1.lay,BasicAgentAA,93,-109
labAA1.lay,BasicAgentAA,94,162
labAA1.lay,BasicAgentAA,95,180
labAA1.lay,BasicAgentAA,96,127
labAA1.lay,BasicAgentAA,97,37
labAA1.lay,BasicAgentAA,98,150
labAA1.lay,BasicAgentAA,99,39
labAA1.lay,BasicAgentAA,100,-74
Average Score: 37.5
Scores:        78, -41, 142, -220, 45, -160, -157, 3, 154, 37, 168, 1, -270, 72, 130, -169, 125, 116, 123, 29, 132, -7, 43, -85, 139, 23, 137, 145, 131, -129, 50, 187, 128, -284, 153, 70, 61, 89, -172, 165, -48, 152, -227, -14, 89, 152, 81, 113, 68, 54, 112, 163, 149, -562, -107, 40, 3, 133, 178, -10, -17, 50, 3, 78, 122, 62, 151, 89, -83, -82, 123, 132, 142, 72, -65, 148, 171, 118, 125, 126, 77, -176, 101, -2, -105, 25, -89, 138, 63, -107, 24, 123, -109, 162, 180, 127, 37, 150, 39, -74
Win Rate:      100/100 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
