map,game,num_actions,time(s)
smallHunt,0,23,1.832217519000551
smallHunt,1,21,1.6340532260001055
smallHunt,2,21,1.6308064190016012
smallHunt,3,25,1.763637469999594
smallHunt,4,36,1.9778050879995135
smallHunt,5,30,1.8511645140006294
smallHunt,6,27,1.7802784829982556
smallHunt,7,21,1.6631611439988774
smallHunt,8,22,1.618879060000836
smallHunt,9,17,1.532724414999393
smallHunt,10,29,1.8118697789996077
smallHunt,11,24,1.6496054870003718
smallHunt,12,29,1.8819883870000922
smallHunt,13,27,1.7918987420016492
smallHunt,14,31,1.8666289649991086
smallHunt,15,28,1.8851871279985062
smallHunt,16,25,1.700743395000245
smallHunt,17,28,1.742557970001144
smallHunt,18,18,1.5570147429989447
smallHunt,19,28,1.8199726629991346
smallHunt,20,30,1.9278594820007129
smallHunt,21,24,1.7356408310006373
smallHunt,22,20,1.6701256840005954
smallHunt,23,27,1.879372331999548
smallHunt,24,28,1.828282685000886
Average Score: 774.44
Scores:        777, 779, 779, 775, 764, 770, 773, 779, 778, 783, 771, 776, 771, 773, 769, 772, 775, 772, 782, 772, 770, 776, 780, 773, 772
Win Rate:      25/25 (1.00)
Record:        Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win, Win
